freq,v_in,v_out
707.9E3,1.000,5.490E-6
724.4E3,1.000,5.337E-6
741.3E3,1.000,5.187E-6
758.6E3,1.000,5.040E-6
776.2E3,1.000,4.897E-6
794.3E3,1.000,4.758E-6
812.8E3,1.000,4.621E-6
831.8E3,1.000,4.488E-6
851.1E3,1.000,4.359E-6
871.0E3,1.000,4.232E-6
891.3E3,1.000,4.109E-6
912.0E3,1.000,3.989E-6
933.3E3,1.000,3.871E-6
955.0E3,1.000,3.757E-6
977.2E3,1.000,3.646E-6
1.000E6,1.000,3.538E-6
1.023E6,1.000,3.432E-6
1.047E6,1.000,3.330E-6
1.072E6,1.000,3.230E-6
1.096E6,1.000,3.133E-6
1.122E6,1.000,3.038E-6
1.148E6,1.000,2.947E-6
1.175E6,1.000,2.857E-6
1.202E6,1.000,2.771E-6
1.230E6,1.000,2.687E-6
1.259E6,1.000,2.605E-6
1.288E6,1.000,2.526E-6
1.318E6,1.000,2.449E-6
1.349E6,1.000,2.375E-6
1.380E6,1.000,2.303E-6
1.413E6,1.000,2.233E-6
1.445E6,1.000,2.165E-6
1.479E6,1.000,2.100E-6
1.514E6,1.000,2.036E-6
1.549E6,1.000,1.975E-6
1.585E6,1.000,1.916E-6
1.622E6,1.000,1.858E-6
1.660E6,1.000,1.803E-6
1.698E6,1.000,1.749E-6
1.738E6,1.000,1.698E-6
1.778E6,1.000,1.648E-6
1.820E6,1.000,1.600E-6
1.862E6,1.000,1.553E-6
1.905E6,1.000,1.508E-6
1.950E6,1.000,1.465E-6
1.995E6,1.000,1.423E-6
2.042E6,1.000,1.383E-6
2.089E6,1.000,1.345E-6
2.138E6,1.000,1.307E-6
2.188E6,1.000,1.272E-6
2.239E6,1.000,1.237E-6
2.291E6,1.000,1.204E-6
2.344E6,1.000,1.172E-6
2.399E6,1.000,1.141E-6
2.455E6,1.000,1.112E-6
2.512E6,1.000,1.083E-6
2.570E6,1.000,1.056E-6
2.630E6,1.000,1.030E-6
2.692E6,1.000,1.005E-6
2.754E6,1.000,980.4E-9
2.818E6,1.000,957.1E-9
2.884E6,1.000,934.9E-9
2.951E6,1.000,913.5E-9
3.020E6,1.000,892.9E-9
3.090E6,1.000,873.2E-9
3.162E6,1.000,854.4E-9
3.236E6,1.000,836.2E-9
3.311E6,1.000,818.9E-9
3.388E6,1.000,802.2E-9
3.467E6,1.000,786.2E-9
3.548E6,1.000,770.9E-9
3.631E6,1.000,756.3E-9
3.715E6,1.000,742.2E-9
3.802E6,1.000,728.8E-9
3.890E6,1.000,715.9E-9
3.981E6,1.000,703.5E-9
4.074E6,1.000,691.7E-9
4.169E6,1.000,680.4E-9
4.266E6,1.000,669.5E-9
4.365E6,1.000,659.2E-9
4.467E6,1.000,649.2E-9
4.571E6,1.000,639.7E-9
4.677E6,1.000,630.6E-9
4.786E6,1.000,621.9E-9
4.898E6,1.000,613.6E-9
5.012E6,1.000,605.6E-9
5.129E6,1.000,598.0E-9
5.248E6,1.000,590.7E-9
5.370E6,1.000,583.7E-9
5.495E6,1.000,577.0E-9
5.623E6,1.000,570.6E-9
5.754E6,1.000,564.5E-9
5.888E6,1.000,558.6E-9
6.026E6,1.000,553.1E-9
6.166E6,1.000,547.7E-9
6.310E6,1.000,542.6E-9
6.457E6,1.000,537.7E-9
6.607E6,1.000,533.1E-9
6.761E6,1.000,528.6E-9
6.918E6,1.000,524.3E-9
7.079E6,1.000,520.2E-9
7.244E6,1.000,516.3E-9
7.413E6,1.000,512.6E-9
7.586E6,1.000,509.0E-9
7.762E6,1.000,505.6E-9
7.943E6,1.000,502.4E-9
8.128E6,1.000,499.3E-9
8.318E6,1.000,496.3E-9
8.511E6,1.000,493.5E-9
8.710E6,1.000,490.7E-9
8.913E6,1.000,488.2E-9
9.120E6,1.000,485.7E-9
9.333E6,1.000,483.3E-9
9.550E6,1.000,481.0E-9
9.772E6,1.000,478.9E-9
10.00E6,1.000,476.8E-9
10.23E6,1.000,474.8E-9
10.47E6,1.000,473.0E-9
10.72E6,1.000,471.1E-9
10.96E6,1.000,469.4E-9
11.22E6,1.000,467.8E-9
11.48E6,1.000,466.2E-9
11.75E6,1.000,464.7E-9
12.02E6,1.000,463.3E-9
12.30E6,1.000,461.9E-9
12.59E6,1.000,460.6E-9
12.88E6,1.000,459.3E-9
13.18E6,1.000,458.1E-9
13.49E6,1.000,457.0E-9
13.80E6,1.000,455.9E-9
14.13E6,1.000,454.9E-9
14.45E6,1.000,453.9E-9
14.79E6,1.000,452.9E-9
15.14E6,1.000,452.0E-9
15.49E6,1.000,451.2E-9
15.85E6,1.000,450.3E-9
16.22E6,1.000,449.5E-9
16.60E6,1.000,448.8E-9
16.98E6,1.000,448.1E-9
17.38E6,1.000,447.4E-9
17.78E6,1.000,446.7E-9
18.20E6,1.000,446.1E-9
18.62E6,1.000,445.5E-9
19.05E6,1.000,444.9E-9
19.50E6,1.000,444.4E-9
19.95E6,1.000,443.8E-9
