freq,v_out,v_in
12.02E6,1.720E-6,1.000
12.30E6,1.718E-6,1.000
12.59E6,1.717E-6,1.000
12.88E6,1.716E-6,1.000
13.18E6,1.714E-6,1.000
13.49E6,1.713E-6,1.000
13.80E6,1.712E-6,1.000
14.13E6,1.711E-6,1.000
14.45E6,1.710E-6,1.000
14.79E6,1.709E-6,1.000
15.14E6,1.708E-6,1.000
15.49E6,1.707E-6,1.000
15.85E6,1.706E-6,1.000
16.22E6,1.705E-6,1.000
16.60E6,1.704E-6,1.000
16.98E6,1.703E-6,1.000
17.38E6,1.703E-6,1.000
17.78E6,1.702E-6,1.000
18.20E6,1.701E-6,1.000
18.62E6,1.700E-6,1.000
19.05E6,1.700E-6,1.000
19.50E6,1.699E-6,1.000
19.95E6,1.698E-6,1.000
20.42E6,1.698E-6,1.000
20.89E6,1.697E-6,1.000
21.38E6,1.697E-6,1.000
21.88E6,1.696E-6,1.000
22.39E6,1.695E-6,1.000
22.91E6,1.695E-6,1.000
23.44E6,1.694E-6,1.000
23.99E6,1.694E-6,1.000
24.55E6,1.693E-6,1.000
25.12E6,1.693E-6,1.000
25.70E6,1.692E-6,1.000
26.30E6,1.692E-6,1.000
26.92E6,1.691E-6,1.000
27.54E6,1.691E-6,1.000
28.18E6,1.690E-6,1.000
28.84E6,1.690E-6,1.000
29.51E6,1.689E-6,1.000
30.20E6,1.689E-6,1.000
